Agency_Aliases,entity_name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image,in_corpus,first_hit,match,entity_type,crawlers,num_mentions,information
NPIN,National Prevention Information Network,https://npin.cdc.gov/,"PO Box 6003 
Rockville, MD 20849",NPIN-Info@cdc.gov,  ,  ,1-800-458-5231,Executive Department Sub-Office/Agency/Bureau,Centers for Disease Control and Prevention,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/US_CDC_logo.svg/1000px-US_CDC_logo.svg.png,False,None,None,org,,,
FCC,Federal Communications Commission,https://www.fcc.gov/,"445 12th St., SW 
Washington, DC 20554",fccinfo@fcc.gov,  ,1-888-835-5322,1-888-225-5322,Independent Agency,Consumer Center; Wireless Telecommunications Bureau,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Seal_of_the_United_States_Federal_Communications_Commission.svg/1000px-Seal_of_the_United_States_Federal_Communications_Commission.svg.png,True,OMBM M-15-04.json,Federal Communications Commission,org,,,
Office of Servicemember Affairs,Office of Servicemember Affairs,https://www.consumerfinance.gov/practitioner-resources/servicemembers/,"PO Box 2900 
Clinton, IA 52733-2900",military@cfpb.gov,  ,1-855-729-2372,"
1-855-411-2372",Executive Department Sub-Office/Agency/Bureau,Consumer Financial Protection Bureau,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
AmeriCorps,AmeriCorps,https://www.americorps.gov/,"1201 New York Ave., NW 
Washington, DC 20525",questions@americorps.gov,1-202-606-5000,1-800-833-3722,  ,None,Corporation for National and Community Service,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
Senior Corps,Senior Corps,https://www.nationalservice.gov/programs/senior-corps,"1201 New York Ave., NW 
Washington, DC 20525",  ,1-202-606-5000,1-800-833-3722,  ,None,Corporation for National and Community Service,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,True,AFI 44-119.json,the Senior Corps,org,,,
SCOTUS,Supreme Court of the United States,https://www.supremecourt.gov/,"One First St., NE 
Washington, DC 20543",  ,1-202-479-3000;1-202-479-3030,1-202-479-3472,  ,Judicial, Supreme Court,Court of Appeals for the Federal Circuit;Federal Court Interpreters,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Seal_of_the_United_States_Supreme_Court.svg/1000px-Seal_of_the_United_States_Supreme_Court.svg.png,True,AFI 36-810.json,the United States Supreme Court,org,,,
PSA,Pretrial Services Agency for the District of Columbia,https://www.psa.gov/,"633 Indiana Ave., NW 
Suite 1120 
Washington, DC 20004",contact@psa.gov,1-202-220-5500,  ,  ,Executive Department Sub-Office/Agency/Bureau,Court Services and Offender Supervision Agency for the District of Columbia,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,False,None,None,org,,,
Defense Finance and Accounting Service Debt and Claims Management Center,Defense Finance and Accounting Service Debt and Claims Management Center,https://www.dfas.mil/debtandclaims/,"Department 3300 
Attention: Customer Care Center 
Indianapolis, IN 46249-3300",  ,1-317-212-8039,  ,1-866-912-6488,Executive Department Sub-Office/Agency/Bureau,Defense Finance and Accounting Service,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,False,None,None,org,,,
NIU,National Intelligence University,https://www.ni-u.edu/,"NIU 1-A, Office of Enrollment Services 
Attn: 7400 Pentagon 
Washington, DC 20301-7400",niuadmit@dodiis.mil,1-202-231-3319;1-202-231-5466,  ,  ,Executive Department Sub-Office/Agency/Bureau,Defense Intelligence Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,CFETP 1N3X1X.json,National Intelligence University,org,,,
Energy Star Program,Energy Star Program,https://www.energystar.gov/,"1200 Pennsylvania Ave., NW 
Room 6202J 
Washington, DC 20460",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,Environmental Protection Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png,True,Title 42 - ch124to161_Secs11901to18647.json,the Energy Star Program,org,,,
IAQ,Indoor Air Quality,https://www.epa.gov/indoor-air-quality-iaq,"1200 Pennsylvania Avenue, NW 
Mail Code 6609T 
Washington, DC 20460",  ,1-202-343-9370,  ,1-800-438-4318,Independent Agency,Environmental Protection Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png,True,AFMAN 48-146.json,Indoor Air Quality,org,,,
NPIC,National Pesticide Information Center,http://npic.orst.edu/,"Oregon State University 
333 Weniger Hall 
Corvallis, OR 97331-6502",npic@ace.orst.edu,  ,  ,1-800-858-7378,Executive Department Sub-Office/Agency/Bureau,Environmental Protection Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png,False,None,None,org,,,
Wireless Telecommunications Bureau,Wireless Telecommunications Bureau,https://www.fcc.gov/wireless-telecommunications,"445 12th St., SW 
Washington, DC 20554",  ,202-418-0600,1-888-835-5322,1-888-225-5322,None,Federal Communications Commission,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Seal_of_the_United_States_Federal_Communications_Commission.svg/1000px-Seal_of_the_United_States_Federal_Communications_Commission.svg.png,True,Title 42 - ch1to6A_Secs1to300m.json,Wireless Telecommunications Bureau,org,,,
USFA,Fire Administration,https://www.usfa.fema.gov/,"16825 South Seton Ave. 
Emmitsburg, MD 21727",  ,301-447-1117,  ,1-800-238-3358,Executive Department Sub-Office/Agency/Bureau,Federal Emergency Management Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png,False,None,None,org,,,
NFIP,National Flood Insurance Program,https://www.floodsmart.gov/,"FEMA 
500 C St., SW 
Washington, DC 20472",FloodSmart@dhs.gov,  ,1-800-720-1090,1-888-379-9531,Executive Department Sub-Office/Agency/Bureau,Federal Emergency Management Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png,True,AFMAN 32-7003.json,the National Flood Insurance Program,org,,,
Office of Housing,Office of Housing,https://www.hud.gov/program_offices/housing,"451 7th St., SW 
Washington, DC 20410",answers@hud.gov,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,United States Department of Housing and Urban Development,Federal Housing Administration,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png,True,AFMAN 65-116V1.json,the housing office,org,,,
Fannie Mae,Federal National Mortgage Association,https://www.fanniemae.com/portal/index.html,"1100 15th Street, NW 
Washington, DC 20005",  ,1-800-232-6643,  ,  ,Quasi-official,Federal Housing Finance Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png,True,Title 26.json,Federal National Mortgage Association,org,,,
Freddie Mac,Federal Home Loan Mortgage Corporation,http://www.freddiemac.com/,"8200 Jones Branch Dr. 
McLean, VA 22102-3110",  ,1-703-903-2000,  ,1-800-424-5401;1-888-995-4673,Quasi-official,Federal Housing Finance Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg/1000px-Seal_of_the_United_States_Department_of_Housing_and_Urban_Development.svg.png,True,Title 26.json,the Federal Home Loan Mortgage Corporation,org,,,
Endangered Species Program,Endangered Species Program,https://www.fws.gov/endangered/,"4401 N. Fairfax Dr. 
Room 420 
Arlington, VA 22203",  ,  ,  ,  ,"Independent Board, Commission, Committee",Fish and Wildlife Service,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Seal_of_the_United_States_Department_of_the_Interior.svg/1000px-Seal_of_the_United_States_Department_of_the_Interior.svg.png,False,None,None,org,,,
MBCC,Migratory Bird Conservation Commission,https://www.fws.gov/refuges/realty/mbcc.html,"5275 Leesburg Pike 
Falls Church, VA 22041",mbcc@fws.gov,1-703-358-1716,  ,1-800-344-9453,"Independent Board, Commission, Committee",Fish and Wildlife Service,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Seal_of_the_United_States_Department_of_the_Interior.svg/1000px-Seal_of_the_United_States_Department_of_the_Interior.svg.png,True,Title 16.json,Migratory Bird Conservation Commission,org,,,
CFSAN,Center for Food Safety and Applied Nutrition,https://www.fda.gov/about-fda/fda-organization/center-food-safety-and-applied-nutrition-cfsan,"5100 Paint Branch Parkway 
College Park, MD 20740-3835",consumer@fda.gov,  ,1-800-877-8339,1-888-723-3366,Executive Department Sub-Office/Agency/Bureau,Food and Drug Administration,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,False,None,None,org,,,
Federal Citizen Information Center,USAGov,https://www.usa.gov/explore,"Office of Products and Programs 
1800 F St., NW 
Washington, DC 20405",  ,  ,  ,1-844-872-4681,Executive Department Sub-Office/Agency/Bureau,General Services Administration,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Seal_of_the_General_Services_Administration.svg/1000px-Seal_of_the_General_Services_Administration.svg.png,False,None,None,org,,,
CRS,Congressional Research Service,https://www.loc.gov/crsinfo/about/,"101 Independence Ave., SE 
Washington, DC 20540",  ,1-202-707-5000,  ,  ,Legislative,Library of Congress,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Seal_of_the_United_States_Library_of_Congress.svg/1000px-Seal_of_the_United_States_Library_of_Congress.svg.png,True,CONFRONTING SECURITY CHALLENGES ON THE KOREAN PENINSULA.json,Congressional Research Service,org,,,
Copyright Office,Copyright Office,https://www.copyright.gov/,"U.S. Copyright Office 
101 Independence Ave., SE 
Washington, DC 20559-6000",  ,"
1-202-707-3000;1-202-707-5959 ",  ,1-877-476-0778,Legislative,Library of Congress,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Seal_of_the_United_States_Library_of_Congress.svg/1000px-Seal_of_the_United_States_Library_of_Congress.svg.png,True,Title 36.json,Copyright Office,org,,,
AMS,Agricultural Marketing Service,https://www.ams.usda.gov/,"Room 3071-S, Ag Stop 0201 
1400 Independence Avenue, SW 
Washington, DC 20250-0273","
amsadministratoroffice@ams.usda.gov","
1-202-720-8998",  ,  ,Executive Department Sub-Office/Agency/Bureau,Marketing and Regulatory Programs,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_the_United_States_Department_of_Agriculture.svg/1000px-Seal_of_the_United_States_Department_of_Agriculture.svg.png,True,MCO P10110.31H.json,Agricultural Marketing Service,org,,,
APHIS,Animal and Plant Health Inspection Service,https://www.aphis.usda.gov/aphis/home/,"Animal and Plant Health Inspection Service 
Department of Agriculture 
Washington, DC 20250",  ,1-202-720-2511,  ,  ,Executive Department Sub-Office/Agency/Bureau,Marketing and Regulatory Programs,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_the_United_States_Department_of_Agriculture.svg/1000px-Seal_of_the_United_States_Department_of_Agriculture.svg.png,True,Title 50.json,the Animal and Plant Health Inspection Service,org,,,
GIPSA,"Grain Inspection, Packers and Stockyards Administration",https://www.gipsa.usda.gov/,"Stop 3601, Room 2055-South Building 
1400 Independence Ave., SW 
Washington, DC 20250-3601",  ,1-202-720-0219,  ,1-800-998-3447,Executive Department Sub-Office/Agency/Bureau,Marketing and Regulatory Programs,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Seal_of_the_United_States_Department_of_Agriculture.svg/1000px-Seal_of_the_United_States_Department_of_Agriculture.svg.png,False,None,None,org,,,
Office of the Federal Register,Office of the Federal Register,https://www.archives.gov/federal-register,"8601 Adelphi Rd. 
College Park, MD 20740-6001",fedreg.info@nara.gov,1-202-741‐6000,1-202-741-6086,  ,Executive Department Sub-Office/Agency/Bureau,National Archives and Records Administration,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Seal_of_the_United_States_National_Archives_and_Records_Administration.svg/1000px-Seal_of_the_United_States_National_Archives_and_Records_Administration.svg.png,True,DoDI 1400.37.json,The Office of the Federal Register,org,,,
Dwight D. Eisenhower School for National Security and Resource Strategy,Dwight D. Eisenhower School for National Security and Resource Strategy,https://www.ndu.edu/Academics/CollegesCenters/TheEisenhowerSchool.aspx,"408 4th Ave. 
Fort McNair 
Washington, DC 20319",University-Registrar@ndu.edu,1-202-685-4333;1-202-685-2128,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Defense University,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,False,None,None,org,,,
Information Resource Management College,Information Resource Management College,https://cic.ndu.edu/,"300 5th Ave., Marshall Hall 
Fort McNair 
Washington, DC 20319-5066",iCollegeOSS@ndu.edu,1-202-685-6300,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Defense University,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,AR 350-1.json,Information Resource Management College,org,,,
JFSC,Joint Forces Staff College,https://jfsc.ndu.edu/,"NIU 1-A, Office of Enrollment Services 
Attn: 7400 Pentagon 
Washington, DC 20301-7400",niuadmit@dodiis.mil,1-202-231-3319,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Defense University,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,NAVMC 2922.json,The Joint Forces Staff College,org,,,
National War College,National War College,https://www.ndu.edu/Academics/CollegesCenters/NationalWarCollege.aspx,"300 D St., SW 
Fort Lesley J. McNair 
Washington, DC 20319-4078",  ,1-202-685-3674,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Defense University,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,True,FORTITUDINE VOL 34 NO 1.json,the National War College,org,,,
ESGR,Employer Support of the National Guard and Reserve,https://www.esgr.mil/,"1555 Wilson Blvd., Suite 200 
Arlington, VA 22209-2405",  ,  ,  ,1-800-336-4590,Executive Department Sub-Office/Agency/Bureau,National Guard,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,False,None,None,org,,,
Weights and Measures Division,Weights and Measures Division,https://www.nist.gov/pml/weights-and-measures,"National Institute of Standards and Technology 
100 Bureau Drive, Stop 2600 
Gaithersburg, MD 20899-2600",owm@nist.gov,1-301-975-4004,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Institute of Standards and Technology,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,False,None,None,org,,,
NIAMS,"National Institute of Arthritis, Musculoskeletal and Skin Diseases",https://www.niams.nih.gov/,"1 AMS Circle 
Bethesda, MD 20892-3675",NIAMSinfo@mail.nih.gov,1-301-495-4484,1-301-565-2966,1-877-226-4267,Executive Department Sub-Office/Agency/Bureau,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,False,None,None,org,,,
NHLBI,"National Heart, Lung, and Blood Institute",https://www.nhlbi.nih.gov/,"31 Center Dr. 
P.O. Box 30105 
Bethesda , MD 20824-0105",nhlbiinfo@nhlbi.nih.gov,1-301-592-8573,1-240-629-3255,  ,Executive Department Sub-Office/Agency/Bureau,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,False,None,None,org,,,
NIDCD,National Institute of Deafness and Other Communication Disorders,https://www.nidcd.nih.gov/,"31 Center Drive, MSC 2320 
Bethesda, MD 20892-2320",nidcdinfo@nidcd.nih.gov,  ,1-800-241-1055,1-800-241-1044,None,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,False,None,None,org,,,
NIDDK,National Institute of Diabetes and Digestive and Kidney Diseases,https://www.niddk.nih.gov/,"31 Center Drive, MSC 2560 
Building 31, room 9A04 
Bethesda, MD 20892",healthinfo@niddk.nih.gov,  ,1-866-569-1162,1-800-860-8747,None,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,False,None,None,org,,,
NIMH,National Institute of Mental Health,https://www.nimh.nih.gov/index.shtml,"National Institutes of Health (NIH) 
6001 Executive Blvd. 
Room 8184, MSC 9663 
Bethesda, MD 20892-9663",nimhinfo@nih.gov,1-301-443-4513,1-301-443-8431;1-866-415-8051,1-866-615-6464,Executive Department Sub-Office/Agency/Bureau,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,True,Title 10.json,the National Institute of Mental Health,org,,,
NINDS,National Institute of Neurological Disorders and Stroke,https://www.ninds.nih.gov/,"PO Box 5801 
Bethesda, MD 20824",  ,  ,  ,1-800-352-9424,None,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,True,Title 42 - ch1to6A_Secs1to300m.json,the National Institute of Neurological Disorders and Stroke,org,,,
NIGMS,National Institute of General Medical Sciences,https://www.nigms.nih.gov/,"45 Center Drive, MSC 6200 
Bethesda, MD 20892-6200",info@nigms.nih.gov,1-301-496-7301,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,True,Title 42 - ch1to6A_Secs1to300m.json,The National Institute of General Medical Sciences,org,,,
NEI,National Eye Institute,https://www.nei.nih.gov/,"31 Center Drive, MSC 2510 
Bethesda, MD 20892-2510",2020@nei.nih.gov,1-301-496-5248,  ,  ,None,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,True,SEMPER FIDELIS VOL 60 NO 1.json,the National Eye Institute,org,,,
SAMHSA,Substance Abuse and Mental Health Services Administration,https://www.samhsa.gov/,"SAMHSA Health Information Network 
PO Box 2345 
Rockville, MD 20847-2345",SAMHSAInfo@samhsa.hhs.gov,  ,1-800-487-4889,1-877-726-4727;1-800-273-8255,Executive Department Sub-Office/Agency/Bureau,National Institutes of Health,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg/1000px-Seal_of_the_United_States_Department_of_Health_and_Human_Services.svg.png,False,None,None,org,,,
ORNL,Oak Ridge National Laboratory,https://www.ornl.gov/,"P.O. Box 2001 
Oak Ridge, TN 37831",  ,1-865-576-0885,  ,1-800-382-6938,Executive Department Sub-Office/Agency/Bureau,National Laboratories,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Seal_of_the_United_States_Department_of_Energy.svg/1000px-Seal_of_the_United_States_Department_of_Energy.svg.png,True,Title 50.json,The Oak Ridge National Laboratory,org,,,
NOAA Fisheries,NOAA Fisheries,https://www.fisheries.noaa.gov/,"1315 East-West Highway 
Silver Spring, MD 20910",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Oceanic and Atmospheric Administration,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,DoDM 4715.03 CH 2.json,NOAA Fisheries,org,,,
National Ocean Service,National Ocean Service,https://oceanservice.noaa.gov/,"SSMC4, Room 13317 
1305 East West Highway 
Silver Spring, MD 20910",nos.info@noaa.gov,1-301-713-3010,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Oceanic and Atmospheric Administration,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,Title 16.json,the National Ocean Service,org,,,
NWS,National Weather Service,https://www.weather.gov/,"1325 East West Highway 
Silver Spring, MD 20910",nws.answers@noaa.gov,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,National Oceanic and Atmospheric Administration,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Seal_of_the_United_States_Department_of_Commerce.svg/1000px-Seal_of_the_United_States_Department_of_Commerce.svg.png,True,PAM 525-27.json,the National Weather Service,org,,,
