doc,pop_score
FAR Subpart 45.4.html,9
"JSM 5701.01E, 9 19 2011 OCR.pdf",9
AFI 16-1401.pdf,9
AFPAM 10-219V1.pdf,9
ARMY DIR 2017-05.pdf,9
AFI 36-3026V1_IP.pdf,9
AFI 21-103.pdf,9
DoDI 5000.83.pdf,9
MCO 11000.22.pdf,9
DoDI 1400.25 Volume 3005.pdf,9
AFMAN 65-116V1.pdf,9
AR 420-1.pdf,9
USAR REG 385-2.pdf,9
DoDD 5205.15E CH 2.pdf,9
DoDI 1000.25.pdf,9
AFPD 10-24.pdf,9
DoDI 3020.41 CH 2.pdf,9
AR 670-1.pdf,9
DoDFMR V8CH4.pdf,9
DoDI 8010.01.pdf,9
2015 Combat Support Agency Review Team Assessment of DISA,9
AFMAN 32-1007.pdf,9
DoDI 8320.07 CH 1.pdf,9
AFI 1-1.pdf,9
AR 700-127.pdf,9
ICD 122.pdf,9
DoD Cybersecurity Activities Performed for Cloud Service Offerings.pdf,8
DoDI 8320.04 CH 3.pdf,8
Transfer and Redesignation of the DASD (Administration).pdf,8
PAM 25-2-14.pdf,8
HOI 33-4.pdf,8
"DEP SEC DEF Memo, Realignment of Safety and Occupational Health Policy and Oversight of OSD, 7 16 2018 OCR.pdf",8
AFI 13-114V1.pdf,8
Placing the Needs of the Department First Using Sap to Achieve the Ideal Future State (Shanahan).pdf,8
ADB406987.pdf,8
DoDI 5000.72 CH 2.pdf,8
ATP 3-39.20.pdf,8
AFI 32-1020.pdf,8
"Update to Child Care Policy Change Dated February 21, 2020.pdf",8
DAFGM 2021-32-01.pdf,8
DoDM 5100.76 CH 2.pdf,8
AFI 32-9001.pdf,8
CIM 5400.17.pdf,8
2004,8
DoDFMR V2BCH18.pdf,8
Designation of a Senior Official with Primary Responsibility for Artificial Intelligence.pdf,8
"FMR 15, 1 1 2020 OCR.pdf",8
ICD 302.pdf,8
NGAI 3300.1(2021-07-30_11-33-46_14509)_20210730155514.pdf,8
NAVMC 4000.5C.pdf,8
NGAI 1020.5(2021-07-30_11-33-28_22030)_20210730155431.pdf,8
"SEC DEF Memo, Military Service by Transgender Individuals, Interim Guidance, 9 14 2017 OCR.pdf",8
Federal Acquisition Regulation.pdf,8
AFI 99-103.pdf,8
DAFI 10-401.pdf,8
Special Leave Accrual.pdf,8
DoDI 3305.02 CH 2.pdf,8
Delegation of Authority for DoD Executive Agent for the Defense Language Institute Foreign Language Center.pdf,8
DoDI 1300.28.pdf,8
DoDI 1444.02 Volume 4 CH 1.pdf,8
DoD 4120.15-L CH 1.pdf,8
DoDD 5105.23 CH 1.pdf,8
"SEC DEF Memo, Transfer of the DoD Consolidated Adjudications Facility and Select Functions  to DSS to Support the Defense Vetting Enterprise OCR.pdf",8
"Summary of Defense Business Council (DBC) Meeting on April 18, 2016.pdf",8
AFMAN 36-203.pdf,8
CFETP 2A5X1.pdf,8
DoDFMR V7ACH68.pdf,8
AFMAN 13-212V3.pdf,8
Duties and Reponsibilities of the Under Secretary of the Navy.pdf,8
AFTTP 3-2.46.pdf,8
CJCSM 4301.01.pdf,8
DoDM 5105.21 Volume 3 CH 2.pdf,8
CJCSI 5116.05,8
FHP Supp 8 DoD Guidance for Protecting Personnel in Workplaces during the Response to the Coronavirus Disease 2019 Pandemic.pdf,8
DAFI 91-204.pdf,8
CJCSI 3710.01B.pdf,8
OMBM M-16-17.pdf,8
SECNAVINST 3820.3F.pdf,8
AFMAN 15-129.pdf,8
DoDFMR V4CH26.pdf,8
DoDI 3150.09 CH 2.pdf,8
HAFMD 1-54.pdf,8
DoDD 2060.02.pdf,8
AFMAN 65-116V3.pdf,8
Use of Organizational Coins for Recognition.pdf,8
DFAR SUBPART 239.76.html,8
DoDI 3020.51 CH 2.pdf,8
AFTTP 3-42.23.pdf,8
Designation of Executive Agent for Unified Platform and Joint Cyber Command and Control (FOUO).pdf,8
AI 117 CH 1.pdf,8
ICD 113.pdf,8
CFETP 2M0X1.pdf,8
MCO 6100.14.pdf,8
AD1047758.pdf,8
STP 12-79R35-SM-TG.pdf,8
AFPD 71-1.pdf,8
"JSM 5220.01A, 10 1 1997, CH 1 3 30 1998, DC 5 16 2011 OCR.pdf",8
AFI 23-111.pdf,8
ATP 57.pdf,8
DoDI 3115.08 CH 3.pdf,8
Civilian Personnel Guidance for DoD Components in Responding to Coronavirus Disease 2019.pdf,8
ATP 3-91.pdf,8
DoDFMR V2BCH8.pdf,8
Joint Regional Security Stack (JRSS) Concept of Employment Version 1.pdf,8
"DEP SEC DEF Memo, Enhanced Section 806 Procedures for SCRM in Support of DoD Trusted Systems and Networks, 3 13 2018 OCR.pdf",8
AI 67 CH 1.pdf,8
DoDI 6055.07 CH 1.pdf,8
AFI 36-901.pdf,8
DoDI 1442.02.pdf,8
CJCSM 3150.13C.pdf,8
DoDD 4500.09.pdf,8
AFI 36-1004.pdf,8
DoDI 3115.15 CH 2.pdf,8
DoDI 5000.02T CH 8.pdf,8
DoDI 8910.01 CH 1.pdf,8
ARMY DIR 2020-03.pdf,8
CJCSI 5002.01.pdf,8
Establishment of Cross-Functional Team to Assess and Mitigate Security Threats Posed by UAS.pdf,7
DoDI 8310.01 CH 1.pdf,7
Notification of the Realignment of the ATSD for Intelligence Oversight as the DoD Senior Intelligence Oversight Official.pdf,7
Joint Artificial Intelligence Center Personnel Requirements for FY19.pdf,7
DoDI 5505.16.pdf,7
AFMAN 11-502.pdf,7
DAFMAN 13-1AOCV3.pdf,7
CNGBI 1400.25 Vol 752.pdf,7
DoDD 8000.01 CH 1.pdf,7
NGAI 5720.1(2021-07-30_11-32-55_62773)_20210730155057.pdf,7
AR 5-12.pdf,7
NGAI 7410.9(2021-07-30_11-32-58_21589)_20210730155121.pdf,7
AAP 06.pdf,7
DAFMAN 1-101.pdf,7
DoDI 3305.13 CH 2.pdf,7
DFAR SUBPART 204.75.html,7
PAM 27-9.pdf,7
AFMAN 11-2ERQ-4V3.pdf,7
AFI 32-2001.pdf,7
SECNAVINST 3900.38C.pdf,7
DoDFMR V2ACH3.pdf,7
OPNAVINST 5100.29A.pdf,7
DoDI 4165.70 CH 1.pdf,7
CJCSI 3500.01J.pdf,7
ATP 1-06.4.pdf,7
AFI 36-2710.pdf,7
AFMAN 36-2136.pdf,7
"DoD 1312.1-1, 3 2001 OCR.pdf",7
CNGBI 1400.25 Vol 630.pdf,7
DoDI 2000.28 CH 1.pdf,7
DoDI 4515.13 CH 5.pdf,7
CFETP 2A6X1.pdf,7
DoDD 5000.59 CH 1.pdf,7
DoDFMR V11ACH1.pdf,7
EDAPDF-3078F9B2B2EA2B86E05400215A9BA3BA-W9124D11D0036-0471-empty-empty-PDS-2016-04-14.pdf,7
AFI 38-101.pdf,7
CJCSI 5124.01.pdf,7
DoDFMR V1CH1.pdf,7
DoDD 5105.42 CH 1.pdf,7
DoDI 5100.73 CH 2.pdf,7
AFI 65-201.pdf,7
DoDD 5101.01 CH 1.pdf,7
DoDFMR V2BCH19.pdf,7
DoD 5015.02-STD.pdf,7
DoDI 3001.02.pdf,7
AFMAN 91-203.pdf,7
AFH 23-123V3.pdf,7
AFMAN 63-143.pdf,7
SECNAVINST 5000.36A.pdf,7
CFETP 2W0X1C1.pdf,7
PHYSICAL FITNESS ATTIRE IN COMMISSARY AND MILITARY EXCHANGE FACILITIES FINAL.pdf,7
CFETP 38FXC2.pdf,7
MCO 5230.21.pdf,7
Civilian Personnel Guidance Release DOD Guidance on Extension of Maximum Telework Flexibilities.pdf,7
DoDM 4140.01 Volume 4 CH 3.pdf,7
AFMAN 90-1606.pdf,7
CFETP 3E1X1C1.pdf,7
ARMY DIR 2021-11.pdf,7
DoDD 3020.49.pdf,7
AFMAN 33-396.pdf,7
DoDI 1348.33 CH 5.pdf,7
DoDFMR V4CH5.pdf,7
DoDM 1348.33 Volume 2 CH 4.pdf,7
Call for Nominations,7
AFPD 25-2.pdf,7
"DEP SEC DEF Memo, (UFOUO) Facilitating Unity of Effort to Advance Countering Weapons of Mass Destruction Objectives, 4 9 2018 OCR.pdf",7
Title 16.pdf,7
DoDFMR V9CH8.pdf,7
CJCSM 6510.01B.pdf,7
AFMAN 41-210.pdf,7
DoDD 7730.65 CH 1.pdf,7
"DEP SEC DEF Memo, Protecting Critical Technology Task Force Implementation, 11 14 2018 OCR.pdf",7
PAM 25-1-1.pdf,7
DoDI 1350.02.pdf,7
DoDI 1315.18 CH 3.pdf,7
CJCSM 3150.07E.pdf,7
Establishment of the Joint Artificial Intelligence Center.pdf,7
AR 1-50.pdf,7
Title 5 Appendix.pdf,7
Management of Federal High Values Assets.pdf,7
CI 1540.2.pdf,7
CFETP 2A6X2.pdf,7
FM 1-06.pdf,7
National Defense Strategy (2017).pdf,7
DoDM 5200.01 Volume 2 CH 4.pdf,7
Guidance to DoD Personnel with Eligibility to Occupy a Sensitive Position on Reporting Crim Acts.pdf,7
CFETP 2F0X1.pdf,7
AR 70-77.pdf,7
DTM-19-010 CH 1.pdf,7
DoDI 5010.40 CH 1.pdf,7
AFI 10-701.pdf,7
AFMAN 65-116V2.pdf,7
Title 42,7
EO 13859.pdf,7
AR 735-5.pdf,7
DoDM 4140.01 Volume 5 CH 1.pdf,7
Report to Congress Comparing the Cost of Civilians and Contractors.pdf,7
National Security Strategy (2017).pdf,7
OPNAVINST 3440.17A.pdf,7
DoDI 1100.23 CH 1.pdf,7
ADB377785.pdf,7
BUMEDINST 5353.4B.pdf,7
DoDI 1400.25 Volume 2010.pdf,6
Managers&#039; Internal Control Program Procedures.pdf,6
DoDI 5210.65.pdf,6
DoDFMR V4CH4.pdf,6
Defense Industrial Base Class DeviationProgress Payment Rates.pdf,6
DoDFMR V6BCH10.pdf,6
DoDI 2040.02 CH 1.pdf,6
DoDM 5200.45 CH 2.pdf,6
OPNAVINST 5102.1D w CH-2.pdf,6
Reporting Notification of Findings and Recommendations and Corrective Action Plans for Financial Audits and Examinations.pdf,6
DAFMAN 32-1084.pdf,6
DoDI 4165.65 CH 2.pdf,6
AFTTP 3-2.67.pdf,6
SECNAVINST 3300.2C.pdf,6
DoD 5010.12-M CH 1.pdf,6
DFAR SUBPART 225.79.html,6
AEDP 19.pdf,6
"DEP SEC DEF Memo, Implementation of the Spectrum Efficient Surveillance Radar Study, 10 1 2018 OCR.pdf",6
AFMAN 11-421.pdf,6
STP 11-25Z4-SM-TG.pdf,6
UCDSMO Disestablishment and Functional Transition to the NCDSMO.pdf,6
AFI 10-1002.pdf,6
DoDI 1430.16.pdf,6
DoDI 1300.24.pdf,6
SECNAVINST 5430.107A.pdf,6
AFMAN 10-206.pdf,6
Approval of Commander U.S. Strategic Command Nuclear Command Control and Communications.pdf,6
Guidance for IMS and Trainees in DoD Formal or Informal Mil Edu and Trng at U.S.G Facilities during COVID-19 Pandemic.pdf,6
COVID-19 Response_Remote Work Capability.pdf,6
DoDFMR V6ACH15.pdf,6
DoDFMR V6BCH4.pdf,6
DoDD 5000.01.pdf,6
2020 Annual Review of Special Rates (Results).pdf,6
CFETP 3E0X1.pdf,6
CN 5600.pdf,6
AFMAN 11-2C-17V2.pdf,6
AFMAN 16-101.pdf,6
DCG VOL 52 PGS 309-404.pdf,6
Delegation of Authority for DoD Executive Agent Responsibility for the Contract Linguist Program.pdf,6
NGAI 8010.3(2021-07-30_11-33-31_31445)_20210730155139.pdf,6
ATP 2-01.pdf,6
"SEC DEF Memo, Establishment of the Secual Assault Accountability and Investigation Task Force, 3 27 2019 OCR.pdf",6
FY 2019 Budget,6
FAR Subpart 52.2.html,6
NAVMC 3500.66C.pdf,6
AFMAN 41-108.pdf,6
General Guidance Publication Updated Mask Guidelines for Vaccinated Persons.pdf,6
Vaccine Guidance Publication Memorandum on Methods to Enable and Encourage Vaccination Against COVID-19.pdf,6
CJCSI 1800.01F.pdf,6
DoDD 5101.22E.pdf,6
"SEC DEF Memo, DoD Guidance for Engagement with the Russian Federation, 5 20 2017 OCR.pdf",6
