name,crawlers,num_mentions,information,type
US Postal Service,"[dod_issuances,marine_pubs,army_pubs,legislation_pubs,air_force_pubs,ex_orders]",451.0,"The United States Postal Service (USPS; also known as the Post Office, U.S. Mail, or Postal Service) is an independent agency of the executive branch of the United States federal government responsible for providing postal service in the United States, including its insular areas and associated states. It is one of the few government agencies explicitly authorized by the United States Constitution.
The USPS traces its roots to 1775 during the Second Continental Congress, when Benjamin Franklin was appointed the first postmaster general, he also served a similar position for the colonies of the Kingdom of Great Britain. The Post Office Department was created in 1792 with the passage of the Postal Service Act.  It was elevated to a cabinet-level department in 1872, and was transformed by the Postal Reorganization Act of 1970 into the United States Postal Service as an independent agency. Since the early 1980s, many direct tax subsidies to the USPS (with the exception of subsidies for costs associated with disabled and overseas voters) have been reduced or eliminated.The USPS, as of 2019, has 469,934 career employees and 136,174 non-career employees. The Postal Service is legally obligated to serve all Americans, regardless of geography, at uniform price and quality. The Post Office has exclusive access to letter boxes marked ""U.S. Mail"" and personal letterboxes in the United States, but has to compete against private package delivery services, such as United Parcel Service, FedEx, and Amazon.

",topic
United States Navy,"[navy_reserves,milpersman_crawler,navy_med_pubs]",438.0,"The United States Navy (USN) is the maritime service branch of the United States Armed Forces and one of the eight uniformed services of the United States. It is the largest and most powerful navy in the world, with the estimated tonnage of its active battle fleet alone exceeding the next 13 navies combined, including 11 U.S. allies or partner nations. It has the highest combined battle fleet tonnage and the world's largest aircraft carrier fleet, with eleven in service, two new carriers under construction, and five other carriers planned. With 336,978 personnel on active duty and 101,583 in the Ready Reserve, the U.S. Navy is the third largest of the U.S. military service branches in terms of personnel. It has 290 deployable combat vessels and more than 3,700 operational aircraft as of June 2019.The U.S. Navy traces its origins to the Continental Navy, which was established during the American Revolutionary War and was effectively disbanded as a separate entity shortly thereafter. After suffering significant loss of goods and personnel at the hands of the Barbary pirates from Algiers, the U.S. Congress passed the Naval Act of 1794 for the construction of six heavy frigates, the first ships of the U.S. Navy. The U.S. Navy played a major role in the American Civil War by blockading the Confederacy and seizing control of its rivers. It played the central role in the World War II defeat of Imperial Japan. The U.S. Navy emerged from World War II as the most powerful navy in the world. The 21st century U.S. Navy maintains a sizable global presence, deploying in strength in such areas as the Western Pacific, the Mediterranean, and the Indian Ocean. It is a blue-water navy with the ability to project force onto the littoral regions of the world, engage in forward deployments during peacetime and rapidly respond to regional crises, making it a frequent actor in U.S. foreign and military policy.
The U.S. Navy is part of the Department of the Navy, alongside the U.S. Marine Corps, which is its coequal sister service. The Department of the Navy is headed by the civilian Secretary of the Navy. The Department of the Navy is itself a military department of the Department of Defense, which is headed by the Secretary of Defense. The Chief of Naval Operations (CNO) is the most senior Navy officer serving in the Department of the Navy.",topic
US Airforce,"[air_force_pubs,marine_pubs,Coast_Guard,secnav_pubs,army_pubs]",433.0,"The United States Air Force (USAF) is the air service branch of the United States Armed Forces. It is one of the eight U.S. uniformed services. Initially formed as a part of the United States Army on 1 August 1907, the USAF was established as a separate branch of the U.S. Armed Forces on 18 September 1947 with the passing of the National Security Act of 1947. It is the second youngest branch of the U.S. Armed Forces and the fourth in order of precedence. The U.S. Air Force articulates its core missions as air superiority, global integrated intelligence, surveillance and reconnaissance, rapid global mobility, global strike, and command and control.
The U.S. Air Force is a military service branch organized within the Department of the Air Force, one of the three military departments of the Department of Defense. The Air Force through the Department of the Air Force is headed by the civilian Secretary of the Air Force, who reports to the Secretary of Defense and is appointed by the President with Senate confirmation. The highest-ranking military officer in the Air Force is the Chief of Staff of the Air Force, who exercises supervision over Air Force units and serves as one of the Joint Chiefs of Staff. As directed by the Secretary of Defense and Secretary of the Air Force, certain Air Force components are assigned to unified combatant commands. Combatant commanders are delegated operational authority of the forces assigned to them, while the Secretary of the Air Force and the Chief of Staff of the Air Force retain administrative authority over their members.
Along with conducting independent air operations, the U.S. Air Force provides air support for land and naval forces and aids in the recovery of troops in the field. As of 2017, the service operates more than 5,369 military aircraft  and 406 ICBMs. It has a $156.3 billion budget and is the second largest service branch, with 329,614 active duty airmen, 172,857 civilian personnel, 69,056 reserve airmen, and 107,414 Air National Guard airmen.

",topic
Committee,"[ic_policies,army_pubs,navy_reserves,Chief_National_Guard_Bureau_Instructions,jcs_pubs,air_force_pubs,legislation_pubs,secnav_pubs,ex_orders]",422.0,"A committee or commission is a body of one or more persons that is subordinate to a deliberative assembly. Usually, the assembly sends matters into a committee as a way to explore them more fully than would be possible if the assembly itself were considering them. Committees may have different functions and their types of work differ depending on the type of the organization and its needs.
A member of a legislature may be delegated a committee assignment; which gives them the right to serve on a certain committee.

",topic
Taxable,[legislation_pubs],377.0,"A tax is a compulsory financial charge or some other type of levy imposed on a taxpayer (an individual or legal entity) by a governmental organization in order to fund government spending and various public expenditures. A failure to pay, along with evasion of or resistance to taxation, is punishable by law. Taxes consist of direct or indirect taxes and may be paid in money or as its labour equivalent. The first known taxation took place in Ancient Egypt around 3000–2800 BC.
Most countries have a tax system in place to pay for public, common, or agreed national needs and government functions. Some levy a flat percentage rate of taxation on personal annual income, but most scale taxes based on annual income amounts. Most countries charge a tax on an individual's income as well as on corporate income. Countries or subunits often also impose wealth taxes, inheritance taxes, estate taxes, gift taxes, property taxes, sales taxes, payroll taxes or tariffs.
In economic terms, taxation transfers wealth from households or businesses to the government. This has effects that can both increase and reduce economic growth and economic welfare. Consequently, taxation is a highly debated topic.",topic
Energy,"[marine_pubs,air_force_pubs,army_pubs,legislation_pubs,Coast_Guard,secnav_pubs,navy_med_pubs,ex_orders]",372.0,"In physics, energy is the quantitative property that must be transferred to an object in order to perform work on, or to heat, the object.  Energy is a conserved quantity; the law of conservation of energy states that energy can be converted in form, but not created or destroyed. The SI unit of energy is the joule, which is the energy transferred to an object by the work of moving it a distance of 1 metre against a force of 1 newton.
Common forms of energy include the kinetic energy of a moving object, the potential energy stored by an object's position in a force field (gravitational, electric or magnetic), the elastic energy stored by stretching solid objects, the chemical energy released when a fuel burns, the radiant energy carried by light, and the thermal energy due to an object's temperature.
Mass and energy are closely related. Due to mass–energy equivalence, any object that has mass when stationary (called rest mass) also has an equivalent amount of energy whose form is called rest energy, and any additional energy (of any form) acquired by the object above that rest energy will increase the object's total mass just as it increases its total energy. For example, after heating an object, its increase in energy could be measured as a small increase in mass, with a sensitive enough scale.
Living organisms require energy to stay alive, such as the energy humans get from food.  Human civilization requires energy to function, which it gets from  energy resources such as fossil fuels, nuclear fuel, or renewable energy. The processes of Earth's climate and ecosystem are driven by the radiant energy Earth receives from the Sun and the geothermal energy contained within the earth.",topic
Marine Corps,"[marine_pubs,secnav_pubs,legislation_pubs,army_pubs]",351.0,"The United States Marine Corps (USMC), also referred to as the United States Marines, is the maritime land force service branch of the United States Armed Forces responsible for conducting expeditionary and amphibious operations through combined arms, implementing its own infantry, armor, artillery, aerial and special operations forces. The U.S. Marine Corps is one of the eight uniformed services of the United States.
The Marine Corps has been part of the U.S. Department of the Navy since 30 June 1834 with its sister service, the United States Navy. The USMC operates installations on land and aboard sea-going amphibious warfare ships around the world. Additionally, several of the Marines' tactical aviation squadrons, primarily Marine Fighter Attack squadrons, are also embedded in Navy carrier air wings and operate from the aircraft carriers.The history of the Marine Corps began when two battalions of Continental Marines were formed on 10 November 1775 in Philadelphia as a service branch of infantry troops capable of fighting both at sea and on shore. In the Pacific theater of World War II the Corps took the lead in a massive campaign of amphibious warfare, advancing from island to island. As of 2017, the USMC has around 182,000 active duty members and some 38,500 personnel in reserve.

",topic
Congressional Senate,"[us_code,legislation_pubs,ex_orders]",345.0,"A congressional committee is a legislative sub-organization in the United States Congress that handles a specific duty (rather than the general duties of Congress). Committee membership enables members to develop specialized knowledge of the matters under their jurisdiction. As ""little legislatures"", the committees monitor ongoing governmental operations, identify issues suitable for legislative review, gather and evaluate information, and recommend courses of action to their parent body. Woodrow Wilson once wrote, ""it is not far from the truth to say that Congress in session is Congress on public exhibition, whilst Congress in its committee rooms is Congress at work."" It is not expected that a member of Congress be an expert on all matters and subject areas that come before Congress. Congressional committees provide valuable informational services to Congress by investigating and reporting about specialized subjects.
Congress divides its legislative, oversight, and internal administrative tasks among approximately 200 committees and subcommittees. Within assigned areas, these functional subunits gather information; compare and evaluate legislative alternatives; identify policy problems and propose solutions; select, determine, and report measures for full chamber consideration; monitor executive branch performance (oversight); and investigate allegations of wrongdoing. The investigatory functions have always been a key role. In the tabling and wording of new law, procedures such as the House discharge petition process (the process of bringing a bill onto the floor without a committee report or mandatory consent from its leadership) are so laborious and technical that committees, today, dominate the draftsmanship and honing of the detail of many bills laid before Congress. Of the 73 discharge petitions submitted to the full House from 1995 through 2007, only one was successful in securing a definitive yea-or-nay vote for a bill.The growth in autonomy and overlap of committees has fragmented power of the Senate and of the House. This dispersion of power may, at times, weaken the legislative branch relative to the other two branches of the federal government, the executive and the judiciary. In his often cited article History of the House of Representatives, written in 1961, American scholar George B. Galloway (1898–1967) wrote: ""In practice, Congress functions not as a unified institution, but as a collection of semi-autonomous committees that seldom act in unison."" Galloway went on to cite committee autonomy as a factor interfering with the adoption of a coherent legislative program. Such autonomy remains a characteristic feature of the committee system in Congress today.

",topic
US Medicare,"[dha_pubs,legislation_pubs,marine_pubs,ex_orders]",343.0,"Medicare is a national health insurance program in the United States, begun in 1965 under the Social Security Administration (SSA) and now administered by the Centers for Medicare and Medicaid Services (CMS). It primarily provides health insurance for Americans aged 65 and older, but also for some younger people with disability status as determined by the SSA, and people with end stage renal disease and amyotrophic lateral sclerosis (ALS or Lou Gehrig's disease).
In 2018, according to the 2019 Medicare Trustees Report, Medicare provided health insurance for over 59.9 million individuals—more than 52 million people aged 65 and older and about 8 million younger people. According to annual Medicare Trustees reports and research by the government's MedPAC group, Medicare covers about half of healthcare expenses of those enrolled. Enrollees almost always cover most of the remaining costs by taking additional private insurance and/or by joining a public Part C or Part D Medicare health plan.
No matter which of those two options the beneficiaries choose—or if they choose to do nothing extra (around 1% according to annual Medicare Trustees reports over time), beneficiaries also have other healthcare-related costs. These additional so-called out of pocket (OOP) costs can include deductibles and co-pays; the costs of uncovered services—such as for long-term custodial, dental, hearing, and vision care; the cost of annual physical exams (for those not on Part C health plans that include physicals); and the costs related to basic Medicare's lifetime and per-incident limits. Medicare is funded by a combination of a specific payroll tax, beneficiary premiums, and surtaxes from beneficiaries, co-pays and deductibles, and general U.S. Treasury revenue.
Medicare is divided into four Parts: A, B, C and D. 

Part A covers hospital (inpatient, formally admitted only), skilled nursing (only after being formally admitted to a hospital for three days and not for custodial care), and hospice services.
Part B covers outpatient services including some providers' services while inpatient at a hospital, outpatient hospital charges, most provider office visits even if the office is ""in a hospital"", and most professionally administered prescription drugs.
Part D covers mostly self-administered prescription drugs.
Part C is an alternative called Managed Medicare or Medicare Advantage which allows patients to choose health plans with at least the same service coverage as Parts A and B (and most often more), often the benefits of Part D, and always an annual out-of-pocket expense limit which A and B lack. A beneficiary must enroll in Parts A and B first before signing up for Part C.",topic
Employer,"[navy_reserves,legislation_pubs,marine_pubs]",342.0,"Employment is a relationship between two parties, usually based on contract where work is paid for, where one party, which may be a corporation, for profit, not-for-profit organization, co-operative or other entity is the employer and the other is the employee. Employees work in return for payment, which may be in the form of an hourly wage, by piecework or an annual salary, depending on the type of work an employee does or which sector they are working in. Employees in some fields or sectors may receive gratuities, bonus payment or stock options. In some types of employment, employees may receive benefits in addition to payment. Benefits can include health insurance, housing, disability insurance or use of a gym. Employment is typically governed by employment laws, organisation or legal contracts.",topic
Pilot Program,"[legislation_pubs,army_pubs]",332.0,"A pilot study, pilot project, pilot test, or pilot experiment is a small-scale preliminary study conducted to evaluate feasibility, duration, cost, adverse events, and improve upon the study design prior to performance of a full-scale research project.",topic
Training,"[dod_issuances,dha_pubs,army_pubs,navy_reserves,Chief_National_Guard_Bureau_Instructions,jcs_pubs,marine_pubs,Coast_Guard,air_force_pubs,secnav_pubs,Bupers_Crawler,navy_med_pubs,ex_orders,nato_stanag]",313.0,"Training is teaching, or developing in oneself or others, any skills and knowledge  or fitness that relate to specific useful competencies. Training has specific goals of improving one's capability, capacity, productivity and performance. It forms the core of apprenticeships and provides the backbone of content at institutes of technology (also known as technical colleges or polytechnics). In addition to the basic training required for a trade, occupation or profession, training may continue beyond initial competence to maintain, upgrade and update skills throughout working life. People within some professions and occupations may refer to this sort of training as professional development. Training also refers to the development of physical fitness related to a specific competence, such as sport, martial arts, military applications and some other occupations.",topic
Bureau of Medicine and Surgery,"[Coast_Guard,Bupers_Crawler,navy_med_pubs]",308.0,"The Bureau of Medicine and Surgery (BUMED) is an agency of the United States Department of the Navy that manages health care activities for the United States Navy and United States Marine Corps.  BUMED operates hospitals and other health care facilities as well as laboratories for biomedical research, and trains and manages the Navy's many staff corps related to medicine.  Its headquarters is located at the Defense Health Headquarters in Fairfax County, Virginia.  BUMED has 63,000 medical personnel and more than a million eligible beneficiaries.",topic
Business,"[army_pubs,legislation_pubs,air_force_pubs,secnav_pubs,ex_orders]",299.0,"Business is the activity of making one's living or making money by producing or buying and selling products (such as goods and services). Simply put, it is ""any activity or enterprise entered into for profit.""Having a business name does not separate the business entity from the owner, which means that the owner of the business is responsible and liable for debts incurred by the business.  If the business acquires debts, the creditors can go after the owner's personal possessions.  A business structure does not allow for corporate tax rates. The proprietor is personally taxed on all income from the business.
The term is also often used colloquially (but not by lawyers or by public officials) to refer to a company. A company, on the other hand, is a separate legal entity and provides for limited liability, as well as corporate tax rates.  A company structure is more complicated and expensive to set up, but offers more protection and benefits for the owner.",topic
Election,"[legislation_pubs,army_pubs,ex_orders]",292.0,"An election is a formal group decision-making process by which a population chooses an individual or multiple individuals to hold public office.Elections have been the usual mechanism by which modern representative democracy has operated since the 17th century. Elections may fill offices in the legislature, sometimes in the executive and judiciary, and for regional and local government. This process is also used in many other private and business organizations, from clubs to voluntary associations and corporations.The universal use of elections as a tool for selecting representatives in modern representative democracies is in contrast with the practice in the democratic archetype, ancient Athens, where the Elections were not used were considered an oligarchic institution and most political offices were filled using sortition, also known as allotment, by which officeholders were chosen by lot.Electoral reform describes the process of introducing fair electoral systems where they are not in place, or improving the fairness or effectiveness of existing systems. Psephology is the study of results and other statistics relating to elections (especially with a view to predicting future results). Election is the fact of electing, or being elected.
To elect means ""to select or make a decision"", and so sometimes other forms of ballot such as referendums are referred to as elections, especially in the United States.

",topic
Amendment,"[marine_pubs,us_code,Chief_National_Guard_Bureau_Instructions,legislation_pubs,ic_policies,ex_orders]",278.0,"An amendment is a formal or official change made to a law, contract, constitution, or other legal document.  It is based on the verb to amend, which means to change for better.  Amendments can add, remove, or update parts of these agreements.  They are often used when it is better to change the document than to write a new one. Only the legislative branch is involved in the amendment process.

",topic
Secnavinst,"[milpersman_crawler,secnav_pubs,marine_pubs,army_pubs,air_force_pubs]",273.0,"An oak leaf cluster is a  ribbon device to denote subsequent decorations and awards consisting of a miniature bronze or silver twig of four oak leaves with three acorns on the stem. It is authorized by the United States Armed Forces for a specific set of decorations and awards of the Department of Defense, Department of the Army, and Department of the Air Force .The bronze oak leaf cluster represents one additional award, while the silver oak leaf cluster is worn in lieu of five bronze oak leaf clusters.",topic
Mental Health,"[dha_pubs,legislation_pubs,air_force_pubs,secnav_pubs,navy_med_pubs,army_pubs,ex_orders,nato_stanag]",269.0,"Mental health, defined by the World Health Organization (WHO), is ""a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community"". According to WHO, mental health includes ""subjective well-being, perceived self-efficacy, autonomy, competence, intergenerational dependence, and self-actualization of one's intellectual and emotional potential, among others"". From the perspectives of positive psychology or of holism, mental health may include an individual's ability to enjoy life and to create a balance between life activities and efforts to achieve psychological resilience. Cultural differences, subjective assessments, and competing professional theories all affect how one defines ""mental health"".",topic
School,"[dod_issuances,army_pubs,legislation_pubs,milpersman_crawler,air_force_pubs,secnav_pubs,marine_pubs,ex_orders]",260.0,"A school is an educational institution designed to provide learning spaces and learning environments for the teaching of students (or ""pupils"") under the direction of teachers. Most countries have systems of formal education, which is sometimes compulsory. In these systems, students progress through a series of schools. The names for these schools vary by country (discussed in the Regional section below) but generally include primary school for young children and secondary school for teenagers who have completed primary education. An institution where higher education is taught, is commonly called a university college or university.
In addition to these core schools, students in a given country may also attend schools before and after primary (Elementary in the US) and secondary (Middle school in the US) education. Kindergarten or preschool provide some schooling to very young children (typically ages 3–5). University, vocational school, college or seminary may be available after secondary school. A school may be dedicated to one particular field, such as a school of economics or a school of dance. Alternative schools may provide nontraditional curriculum and methods.
Non-government schools, also known as private schools may be required when the government does not supply adequate, or specific educational needs. Other private schools can also be religious, such as Christian schools, gurukula (Hindu School), madrasa (Arabic schools), hawzas (Shi'i Muslim schools), yeshivas (Jewish schools), and others; or schools that have a higher standard of education or seek to foster other personal achievements. Schools for adults include institutions of corporate training, military education and training and business schools.
In homeschooling and distance education, teaching and learning take place independent from the institution of school or in a virtual school outside a traditional school building respectively. Schools are commonly organized in several different organizational models, including departmental, small learning communities, academies, integrated, and schools-within-a-school.",topic
