Agency_Aliases,entity_name,Website,Address,Email,Phone,TTY,TollFree,Government_Branch,Parent_Agency,Related_Agency,Agency_Image,entity_type,crawlers,num_mentions,information,information_source,information_retrieved
NPIN,National Prevention Information Network,https://npin.cdc.gov/,"PO Box 6003 
Rockville, MD 20849",NPIN-Info@cdc.gov,  ,  ,1-800-458-5231,Executive Department Sub-Office/Agency/Bureau,Centers for Disease Control and Prevention,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/US_CDC_logo.svg/1000px-US_CDC_logo.svg.png,org,,,"The Centers for Disease Control and Prevention's National Prevention Information Network (CDC NPIN) is a source of information and materials for both international and American HIV/AIDS, Viral Hepatitis, Tuberculosis, and Sexually Transmitted Disease education and prevention organizations.NPIN is located on the Corporate Square Campus of the Centers for Disease Control and Prevention in Atlanta, Georgia and includes a small resource library, a call center, training facilities, and educational materials.  The CDC NPIN project also supports/manages GetTested.cdc.gov, the national HIV and STD testing site locator web site and FindTBResources.cdc.gov, a site dedicated to partners in TB education.",Wikipedia,2021-12-23
FCC,Federal Communications Commission,https://www.fcc.gov/,"445 12th St., SW 
Washington, DC 20554",fccinfo@fcc.gov,  ,1-888-835-5322,1-888-225-5322,Independent Agency,Consumer Center; Wireless Telecommunications Bureau,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Seal_of_the_United_States_Federal_Communications_Commission.svg/1000px-Seal_of_the_United_States_Federal_Communications_Commission.svg.png,org,,,"The Federal Communications Commission (FCC) is an independent agency of the United States federal government that regulates communications by radio, television, wire, satellite, and cable across the United States. The FCC maintains jurisdiction over the areas of broadband access, fair competition, radio frequency use, media responsibility, public safety, and homeland security.The FCC was formed by the Communications Act of 1934 to replace the radio regulation functions of the Federal Radio Commission. The FCC took over wire communication regulation from the Interstate Commerce Commission. The FCC's mandated jurisdiction covers the 50 states, the District of Columbia, and the territories of the United States. The FCC also provides varied degrees of cooperation, oversight, and leadership for similar communications bodies in other countries of North America. The FCC is funded entirely by regulatory fees. It has an estimated fiscal-2016 budget of US $388 million. It has 1,454 federal employees as of July 2019.",Wikipedia,2021-12-23
Office of Servicemember Affairs,Office of Servicemember Affairs,https://www.consumerfinance.gov/practitioner-resources/servicemembers/,"PO Box 2900 
Clinton, IA 52733-2900",military@cfpb.gov,  ,1-855-729-2372,"
1-855-411-2372",Executive Department Sub-Office/Agency/Bureau,Consumer Financial Protection Bureau,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,,Wikipedia,2021-12-23
AmeriCorps,AmeriCorps,https://www.americorps.gov/,"1201 New York Ave., NW 
Washington, DC 20525",questions@americorps.gov,1-202-606-5000,1-800-833-3722,  ,None,Corporation for National and Community Service,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"AmeriCorps (officially the Corporation for National and Community Service or CNCS) is an independent agency of the United States government that engages more than five million Americans in service through AmeriCorps VISTA, AmeriCorps NCCC, AmeriCorps State and National, AmeriCorps Seniors, the Volunteer Generation Fund, and other national service initiatives. The agency's mission is ""to improve lives, strengthen communities, and foster civic engagement through service and volunteering."" While a government agency, AmeriCorps acts much like a foundation and is the nation's largest annual grant maker supporting service and volunteering. It was created by the National and Community Service Trust Act of 1993. In September 2020, the agency rebranded itself as AmeriCorps, although its official name is unchanged.",Wikipedia,2021-12-23
Senior Corps,Senior Corps,https://www.nationalservice.gov/programs/senior-corps,"1201 New York Ave., NW 
Washington, DC 20525",  ,1-202-606-5000,1-800-833-3722,  ,None,Corporation for National and Community Service,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"AmeriCorps Seniors is a United States government program run by the agency Corporation for National and Community Service. The program engages volunteers aged 55 and older to serve their communities. There are over 200,000 volunteers nationwide.AmeriCorps Seniors is made up of three constituent programs-—Foster Grandparents, Retired and Senior Volunteer Program (RSVP), and Senior Companions—-which were brought together under one umbrella when the Corporation for National and Community Service (CNCS) was formed by then-president Bill Clinton in 1993. At that time, the three programs were collectively called Senior Corps. On September 29, 2020, CNCS announced the agency was rebranding itself as AmeriCorps, and Senior Corps was being rebranded as AmeriCorps Seniors.The three programs have unique histories, and each was developed to meet a specific need. The Foster Grandparent Program was piloted on August 28, 1965, to entice low income people over 60 in community service. The Senior Companion Program began as part of the Department of Health, Education and Welfare and Administration on Aging in 1968, and before being legislated and signed into law under President Richard Nixon. The Retired and Senior Volunteer Program (RSVP) began as an outgrowth by private groups and government agencies to create opportunities of engagement, activity, and growth for older Americans following the work of the Community Service Society of New York on Staten Island beginning in 1965; the Society's success led the Older Americans Act being amended to create RSVP as a nationwide program in 1969.",Wikipedia,2021-12-23
SCOTUS,Supreme Court of the United States,https://www.supremecourt.gov/,"One First St., NE 
Washington, DC 20543",  ,1-202-479-3000;1-202-479-3030,1-202-479-3472,  ,Judicial, Supreme Court,Court of Appeals for the Federal Circuit;Federal Court Interpreters,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Seal_of_the_United_States_Supreme_Court.svg/1000px-Seal_of_the_United_States_Supreme_Court.svg.png,org,,,"The Supreme Court of the United States (SCOTUS) is the highest court in the federal judiciary of the United States of America. It has ultimate and largely discretionary appellate jurisdiction over all federal and state court cases that involve a point of federal law, and original jurisdiction over a narrow range of cases, specifically ""all Cases affecting Ambassadors, other public Ministers and Consuls, and those in which a State shall be Party."" The Court holds the power of judicial review, the ability to invalidate a statute for violating a provision of the Constitution. It is also able to strike down presidential directives for violating either the Constitution or statutory law. However, it may act only within the context of a case in an area of law over which it has jurisdiction. The Court may decide cases having political overtones but has ruled that it does not have power to decide non-justiciable political questions.Established by Article Three of the United States Constitution, the composition and procedures of the Supreme Court were initially established by the 1st Congress through the Judiciary Act of 1789. As later set by the Judiciary Act of 1869, the Court consists of the chief justice of the United States and eight associate justices. Each justice has lifetime tenure, meaning they remain on the Court until they resign, retire, die, or are removed from office. When a vacancy occurs, the president, with the advice and consent of the Senate, appoints a new justice. Each justice has a single vote in deciding the cases argued before the Court. When in majority, the chief justice decides who writes the opinion of the court; otherwise, the most senior justice in the majority assigns the task of writing the opinion.The Court meets in the Supreme Court Building in Washington, D.C. Its law enforcement arm is the Supreme Court Police.",Wikipedia,2021-12-23
PSA,Pretrial Services Agency for the District of Columbia,https://www.psa.gov/,"633 Indiana Ave., NW 
Suite 1120 
Washington, DC 20004",contact@psa.gov,1-202-220-5500,  ,  ,Executive Department Sub-Office/Agency/Bureau,Court Services and Offender Supervision Agency for the District of Columbia,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Great_Seal_of_the_United_States_%28obverse%29.svg/1000px-Great_Seal_of_the_United_States_%28obverse%29.svg.png,org,,,"Crime in Washington, D.C., is directly related to the city's demographics, geography, and unique criminal justice system. The District's population reached a peak of 802,178 in 1950. Shortly after that, the city began losing residents, and by 1980 Washington had lost one-quarter of its population. The population loss to the suburbs also created a new demographic pattern, which divided affluent neighborhoods west of Rock Creek Park from the less well-off neighborhoods to the east.Despite being the headquarters of multiple federal law enforcement agencies, such as the Federal Bureau of Investigation (FBI) and United States Drug Enforcement Administration (DEA), the nationwide crack epidemic of the 1980s and 1990s greatly affected the city and led to large increases in crime. The number of homicides in Washington peaked in 1991 at 482, a rate of 80.6 homicides per 100,000 residents, and the city eventually became known as the ""murder capital"" of the United States.The crime rate started to fall in the mid-1990s as the crack cocaine epidemic gave way to economic revitalization projects. Neighborhood improvement efforts and new business investment  have also started to transform neighborhoods east of the Anacostia River, leading to the first rise in the District's population in 60 years.By the mid-2000s, crime rates in Washington dropped to their lowest levels in over 20 years, to less than a fifth of record highs. As in many major cities, crime remains a notable problem in D.C. This is true even in the city's northwestern neighborhoods, which tend to be more affluent and have more entertainment options. Violent crime also remains a problem in Ward 8, which has the city's highest concentration of poverty.",Wikipedia,2021-12-23
Defense Finance and Accounting Service Debt and Claims Management Center,Defense Finance and Accounting Service Debt and Claims Management Center,https://www.dfas.mil/debtandclaims/,"Department 3300 
Attention: Customer Care Center 
Indianapolis, IN 46249-3300",  ,1-317-212-8039,  ,1-866-912-6488,Executive Department Sub-Office/Agency/Bureau,Defense Finance and Accounting Service,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,Debt collection is the process of pursuing payments of debts owed by individuals or businesses. An organization that specializes in debt collection is known as a collection agency or debt collector. Most collection agencies operate as agents of creditors and collect debts for a fee or percentage of the total amount owed.,Wikipedia,2021-12-23
NIU,National Intelligence University,https://www.ni-u.edu/,"NIU 1-A, Office of Enrollment Services 
Attn: 7400 Pentagon 
Washington, DC 20301-7400",niuadmit@dodiis.mil,1-202-231-3319;1-202-231-5466,  ,  ,Executive Department Sub-Office/Agency/Bureau,Defense Intelligence Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/United_States_Department_of_Defense_Seal.svg/1200px-United_States_Department_of_Defense_Seal.svg.png,org,,,"The National Intelligence University (NIU), formerly known as the Defense Intelligence School, the Defense Intelligence College, the Joint Military Intelligence College, and the National Defense Intelligence College is a federally chartered research university in Bethesda, Maryland. NIU is the United States Intelligence Community's (IC) institution for higher learning in fields of study central to the profession of intelligence and national security. NIU awards undergraduate and graduate degrees, a graduate certificate, and  prestigious research fellowships to prepare personnel for senior positions in the IC and the broader national security enterprise. Since 1963, more than 80,000 military and civilian students have attended the university. Formerly located at the Defense Intelligence Agency headquarters in Washington, D.C., NIU's primary campus is now located at Intelligence Community Campus-Bethesda (ICC-B) with four additional locations around the world.National Intelligence University's interdisciplinary programs emphasize education through scholarly and applied research designed to help U.S. intelligence officers better understand the diverse range of geopolitical, strategic, and technological threats and opportunities affecting intelligence and national security. The university is organized into two separate academic units: the College of Strategic Intelligence and the Anthony G. Oettinger School of Science and Technology Intelligence. Combined, the college and school cover a diverse and evolving range of international affairs issues and adversarial threats and capabilities, from cultural and religious conflicts to WMD proliferation, cybersecurity threats, terrorism, transnational crime, and more.Congressionally chartered and publicly funded but with admissions restricted solely to current U.S. Intelligence officers holding a Top Secret/Sensitive Compartmented Information clearance, NIU is a small, non-resident university. Admissions are highly selective, but tuition is paid by the United States Government.",Wikipedia,2021-12-23
Energy Star Program,Energy Star Program,https://www.energystar.gov/,"1200 Pennsylvania Ave., NW 
Room 6202J 
Washington, DC 20460",  ,  ,  ,  ,Executive Department Sub-Office/Agency/Bureau,Environmental Protection Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png,org,,,"Energy Star (trademarked ENERGY STAR) is a  program run by the U.S. Environmental Protection Agency (EPA)  and U.S. Department of Energy (DOE) that promotes energy efficiency. The program provides information on the energy consumption of products and devices using different standardized methods. The Energy Star label is found on more than 75 different certified product categories, homes, commercial buildings, and industrial plants. In the United States, the Energy Star label is also shown on the Energy Guide appliance label of qualifying products.Elements of the Energy Star Program are being implemented in Japan, Taiwan, and Switzerland - as well as Energy Star Canada. In 2018, a 15-year long agreement with the European Union expired. A previous agreement with the European Free Trade Association has also expired.",Wikipedia,2021-12-23
IAQ,Indoor Air Quality,https://www.epa.gov/indoor-air-quality-iaq,"1200 Pennsylvania Avenue, NW 
Mail Code 6609T 
Washington, DC 20460",  ,1-202-343-9370,  ,1-800-438-4318,Independent Agency,Environmental Protection Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png,org,,,"Indoor air quality (IAQ) is the air quality within and around buildings and structures. IAQ is known to affect the health, comfort, and well-being of building occupants. Poor indoor air quality has been linked to sick building syndrome, reduced productivity, and impaired learning in schools.IAQ can be affected by gases (including carbon monoxide, radon, volatile organic compounds), particulates, microbial contaminants (mold, bacteria), or any mass or energy stressor that can induce adverse health conditions.  Source control, filtration, and the use of ventilation to dilute contaminants are the primary methods for improving indoor air quality in most buildings. Residential units can further improve indoor air quality by routine cleaning of carpets and area rugs.Determination of IAQ involves the collection of air samples, monitoring human exposure to pollutants, collection of samples on building surfaces, and computer modelling of air flow inside buildings.IAQ is part of indoor environmental quality (IEQ), which includes IAQ as well as other physical and psychological aspects of life indoors (e.g., lighting, visual quality, acoustics, and thermal comfort).Indoor air pollution is a major health hazard in developing countries. A major source of indoor air pollution is the burning of coal, and biomass including wood, charcoal, dung, or crop residue for heating and cooking.  This results in high concentrations of particulate matter and was responsible for roughly 1.5 million to 2 million deaths in 2000.Indoor workplaces are found in many working environments such as offices, sales areas, hospitals, libraries, schools and preschool childcare facilities. At such workplaces, no tasks involving hazardous substances are performed, and they do not include high-noise areas. Nevertheless, employees may feature symptoms belonging to the sick building syndrome such as burning of the eyes, scratchy throat, blocked nose, and headaches. These afflictions often cannot be attributed to a single cause, and require a comprehensive analysis besides the testing of the air quality. Factors such as the workplace design, lighting, noise, thermal environment, ionising radiation and psychological and mental aspects have as well to be allowed for. A report assisted by the Institute for Occupational Safety and Health of the German Social Accident Insurance can support in the systematic investigation of individual health problems arising at indoor workplaces, and in the identification of practical solutions.",Wikipedia,2021-12-23
NPIC,National Pesticide Information Center,http://npic.orst.edu/,"Oregon State University 
333 Weniger Hall 
Corvallis, OR 97331-6502",npic@ace.orst.edu,  ,  ,1-800-858-7378,Executive Department Sub-Office/Agency/Bureau,Environmental Protection Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Seal_of_the_United_States_Environmental_Protection_Agency.svg/1000px-Seal_of_the_United_States_Environmental_Protection_Agency.svg.png,org,,,"The National Pesticide Information Center (NPIC) is a collaboration between Oregon State University and the United States Environmental Protection Agency to provide objective, science-based information about pesticides, the recognition and management of pesticide poisonings, toxicology and environmental chemistry. It is funded through a cooperative agreement that is competitively awarded to an eligible applicant every 3–5 years. It was previously known as the National Pesticide Telecommunication Network.",Wikipedia,2021-12-23
Wireless Telecommunications Bureau,Wireless Telecommunications Bureau,https://www.fcc.gov/wireless-telecommunications,"445 12th St., SW 
Washington, DC 20554",  ,202-418-0600,1-888-835-5322,1-888-225-5322,None,Federal Communications Commission,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Seal_of_the_United_States_Federal_Communications_Commission.svg/1000px-Seal_of_the_United_States_Federal_Communications_Commission.svg.png,org,,,Wireless broadband is telecommunications technology that provides high-speed wireless Internet access or computer networking access over a wide area. The term comprises both fixed and mobile broadband.,Wikipedia,2021-12-23
USFA,Fire Administration,https://www.usfa.fema.gov/,"16825 South Seton Ave. 
Emmitsburg, MD 21727",  ,301-447-1117,  ,1-800-238-3358,Executive Department Sub-Office/Agency/Bureau,Federal Emergency Management Agency,  ,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Seal_of_the_United_States_Department_of_Homeland_Security.svg/1000px-Seal_of_the_United_States_Department_of_Homeland_Security.svg.png,org,,,"The United States Fire Administration (USFA) is a division of the Federal Emergency Management Agency which in turn is managed by the Department of Homeland Security located in unincorporated Frederick County, Maryland, near Emmitsburg. Per the official website: ""As an entity of the U.S. Department of Homeland Security’s Federal Emergency Management Agency (FEMA), the mission of the U.S. Fire Administration is to support and strengthen fire and emergency medical services (EMS) and stakeholders to prepare for, prevent, mitigate and respond to all hazards"".",Wikipedia,2021-12-23
