1MC,general announcing system
ASD(HD&ASA),Assistant Secretary of Defense (Homeland Defense and Americas’ Security Affairs)
ASD(HD&GS),Assistant Secretary of Defense (Homeland Defense and Global Security)
ASD(NII),Assistant Secretary of Defense (Networks and Information Integration)
ASD(OEPP),Assistant Secretary of Defense for Operational Energy Plans and Programs
ASD(RA),Assistant Secretary of Defense (Reserve Affairs)
ASD(S),Assistant Secretary of Defense for Sustainment
ASD(SO/LIC&IC),Assistant Secretary of Defense for Special Operations and Low-Intensity Conflict and Interdependent
ASD(SO/LIC),Assistant Secretary of Defense for Special Operations/Low- Intensity Conflict
ASG,Allied System for Geospatial Intelligence
ASIC,Air and Space Interoperability Council
ASLT,air support liaison team, assault support landing table
ASM,air-to-surface missile, Army Spectrum Manager
ASMO,Army Spectrum Management Office
ASOC,air support operations center
ASOG,air support operations group
ASOS,air support operations squadron
ASP,Allied spectrum publication
ASPR,Office of Assistant Secretary for Preparedness and Response (DHHS)
ASW,antisubmarine warfare
ASWC,antisubmarine warfare commander
AT,antiterrorism
ATA,antiterrorism assistance
ATACMS,Army Tactical Missile System
ATC,air traffic control
ATCM,air traffic control measure
ATCS,air traffic control section
ATEP,Antiterrorism Enterprise Portal
ATF,amphibious task force," Bureau of Alcohol, Tobacco, Firearms, and Explosives (DOJ)"
ATI,asset target interaction
ATO, antiterrorism officer,air tasking order
ATOC,air terminal operations center
ATP, Army techniques publication,Allied tactical publication
ATSD(PA),Assistant to the Secretary of Defense for Public Affairs
ATSDR,Agency for Toxic Substances and Disease Registry (DHHS)
ATTP,"Army tactics, techniques, and procedures"
AU,African Union
AUF,airborne use of force
AUSCANNZUKUS,"Australia, Canada, New Zealand, United Kingdom, United States"
AV,asset visibility
AVC,"Bureau of Arms Control, Verification, and Compliance (DOS)"
AVL,anti-vehicle land mine
AVS,asset validation system
AWACS,Airborne Warning and Control System
AWG,Asymmetric Warfare Group (USA)
AWNIS,Allied Worldwide Navigational Information System
AXO,abandoned explosive ordnance
BAE,brigade aviation element
BAH,basic allowance for housing
BALS,berthing and loading schedule
BAS,basic allowance for subsistence
BCC,battle control center
BCD,battlefield coordination detachment (USA)
BCG,beach control group
BCL,battlefield coordination line
BCOC,base cluster operations center
BCT,brigade combat team
BD,barge derrick
BDA,battle damage assessment
BDAREP,battle damage assessment report
BDE,brigade
BDOC,base defense operations center
BDS,BeiDou Navigation Satellite System
BEAR,base expeditionary airfield resources (USAF), basic expeditionary airfield resources
BEB,brigade engineer battalion
BEI,biometrics-enabled intelligence
BEST,border enforcement security task force
BEWL,biometric-enabled watchlist
BI,battlefield illumination, battle injury
BIA,behavioral influences analysis
BICES,battlefield information collection and exploitation system (NATO)
BIFS,Border Intelligence Fusion Section (DHS)
BIS,Bureau of Industry and Security (DOC)
BLCP,beach lighterage control point
BLOS,beyond line-of-sight
BLT,battalion landing team
BM,ballistic missile, beach module
BMD,ballistic missile defense
BMET,biomedical electronics technician
BMU,beachmaster unit
BN,battalion
BOC,bomb on coordinate
BOG,beach operations group
BOS,base operating support
BOS-I,base operating support-integrator
BOT,bomb on target
BP,battle position
BPA,blanket purchase agreement
BPC,building partnership capacity
BPG,beach party group
BPLAN,base plan
BPT,beach party team
BSA,beach support area
BSB,brigade support battalion
BSC,behavioral science consultant
BSI,base support installation
BSZ,base security zone
BT,bathythermograph
BTC,blood transshipment center
BTU,beach termination unit
BTWC,Biological and Toxin Weapons Convention
BVR,beyond visual range
BZ,buffer zone
C,Celsius
C-2X,coalition Intelligence Directorate counterintelligence and human intelligence staff element
C-E,communications-electronics
C-IED,counter-improvised explosive device
C-IEDTF,counter-improvised explosive device task force
C-JWICS,Containerized Joint Worldwide Intelligence Communications System
C-RAM,"counter-rocket, artillery, mortar"
C-UAS,counter-unmanned aircraft system
C2,command and control
C2CRE,"command and control chemical, biological, radiological, and nuclear response element"
CA, credibility assessment,civil affairs, combat assessment, coordinating altitude, criticality assessment
CAA,combat aviation advisor, command arrangement agreement
CAAF,contractors authorized to accompany the force
CAB,commander’s assessment board
CAC,common access card
CACOM,civil affairs command
CAD,Canadian air division
CAF,combat air forces, Conflict Assessment Framework (USAID)
CAG,civil affairs group
CAGO,"contractor-acquired, government-owned"
CAIS,civil authority information support
CAL,critical asset list
CALICS,"communication, authentication, location, intentions, condition, and situation"
CAMOC,Caribbean Air and Marine Operations Center
CAMPS,Consolidated Air Mobility Planning System
CANR,Canadian North American Aerospace Defense Command Region
CANUS,Canada-United States
CAO,civil affairs operations, controlled asset operation
CAP,Civil Air Patrol, civil assistance plan, civil augmentation program, combat air patrol
CAPM,credibility assessment program manager
CAPT,civil affairs planning team
CARVER,"criticality, accessibility, recuperability, vulnerability, effect, and recognizability"
CAS,close air support
CASEVAC,casualty evacuation
CAT,category, civil affairs team, crisis action team
CATF,"commander, amphibious task force"
CBCP,Customs and Border Clearance Program (DOD)
CBEC,Contingency Basing Executive Council
CBG,coalition building guide
CBIRF,Chemical-Biological Incident Response Force
CBMU,construction battalion maintenance unit
CBP,capabilities-based planning, Customs and Border Protection (DHS)
CBR,"chemical, biological, and radiological"
CBRN,"chemical, biological, radiological, and nuclear"
CBRNE,"chemical, biological, radiological, nuclear, and high-yield explosives (USA/NGB/USCG)"
CC,component commander, critical capability
CCA,contract construction agent, country container authority
CCAS,contingency contract administration services
CCATT,critical care air transport team
CCC,coalition coordination center
CCD,"camouflage, concealment, and deception"
CCDB,consolidated counterdrug database
CCDR,combatant commander
CCEB,Combined Communications-Electronics Board
CCG,combat communications group
CCICA,command counterintelligence coordinating authority
CCIF,Combatant Commander Initiative Fund
CCIR,commander’s critical information requirement
CCLI,commerce control list item
CCMD,combatant command
CCMF,Cyber Combat Mission Force
CCO,central control officer, container control officer
CCORB,commander’s contract oversight review board
CCP, consolidation,combatant command campaign plan
CCS,commander’s communication synchronization, core capability set
CCW,1980 United Nations Convention on Conventional Weapons
CD,counterdrug, customer direct
CDC,Centers for Disease Control and Prevention (DHHS)
CDE,collateral damage estimation
CDI,cargo disposition instructions
CDIO,collateral duty intelligence officer
CDIPO,counterdrug intelligence preparation for operations
CDM,collateral damage methodology
CDO,"commander, detainee operations"
CDRAFNORTH,"Commander, Air Force North"
CDRJSOTF,"commander, joint special operations task force"
CDRNORAD,"Commander, North American Aerospace Defense Command"
CDRTSOC,"commander, theater special operations command"
CDRUSAFRICOM,"Commander, United States Africa Command"
CDRUSARNORTH,"Commander, United States Army, North"
CDRUSCENTCOM,"Commander, United States Central Command"
CDRUSCYBERCOM,"Commander, United States Cyber Command"
CDRUSELEMNORAD,"Commander, United States Element, North American Aerospace Defense Command"
CDRUSEUCOM,"Commander, United States European Command"
CDRUSINDOPACOM,"Commander, United States Indo-Pacific Command"
CDRUSNORTHCOM,"Commander, United States Northern Command"
CDRUSSOCOM,"Commander, United States Special Operations Command"
CDRUSSOUTHCOM,"Commander, United States Southern Command"
CDRUSSPACECOM,"Commander, United States Space Command"
CDRUSSTRATCOM,"Commander, United States Strategic Command"
CDRUSTRANSCOM,"Commander, United States Transportation Command"
CDS,Chief of Defence Staff (Canada), command disablement system, container delivery system
CE,circular error, command element (USMC)
CEB,combat engineer battalion
CEHC,Counter Explosive Hazards Center (USA)
CEMA,cyberspace electromagnetic activities (USA)
CEMIRT,"civil engineer maintenance, inspection, and repair team"
CENTRIXS,Combined Enterprise Regional Information Exchange System
CEP,Chairman’s Exercise Program
CERFP,"chemical, biological, radiological, nuclear, and high-yield explosives enhanced response force package"
CERP,Commanders’ Emergency Response Program
CERT,contingency engineering response team
CEW,civilian expeditionary workforce
CEWCC,combined electronic warfare coordination cell
CEXC,combined explosives exploitation cell
CF,carrier-furnished, causeway ferry, conventional forces
CFA,critical factors analysis
CFB,Canadian forces base
CFE-DM,Center for Excellence in Disaster Management and Humanitarian Assistance (USINDOPACOM)
CFL,coordinated fire line
CFLCC,coalition forces land component commander
CFPM,causeway ferry power module
CFR,Code of Federal Regulations
CFST,coalition forces support team
CG,Coast Guard, commanding general
CG-652,Coast Guard Spectrum Management and Telecommunications Policy Division
CGCIS,Coast Guard Counterintelligence Service
CGDEFOR,Coast Guard defense force
CGICC,Coast Guard Intelligence Coordination Center
CGIS,United States Coast Guard Investigative Service
CGTTP,"Coast Guard tactics, techniques, and procedures"
CHCSS,"Chief, Central Security Service"
CHD,counterintelligence and human intelligence detachment
CHE,cargo-handling equipment, container handling equipment
CI,counterintelligence
CI/KR,critical infrastructure and key resources
CIA,Central Intelligence Agency
CIB,Common Interactive Broadcast, controlled image base
CICA,counterintelligence coordinating authority
CICR,counterintelligence collection requirement
CID,combat identification
CIE,collaborative information environment, cultural intelligence element
CIEA,"classification, identification, and engagement area"
CIL,critical information list
CIM,civil information management
CIMIC,civil-military cooperation
CIO,chief information officer
CIOC,counterintelligence operations cell
CIOTA,counterintelligence operational tasking authority
CIP,critical infrastructure protection
CIRT,Collaborative Issue Resolution Tool
CISAR,catastrophic incident search and rescue
CITE,computer intrusion technical exploitation
CITP,counter-improvised explosive device targeting program
CIVMAR,civil service mariner
CJ-4,combined-joint logistic office
CJCS,Chairman of the Joint Chiefs of Staff
CJCSI,Chairman of the Joint Chiefs of Staff instruction
CJCSM,Chairman of the Joint Chiefs of Staff manual
CJE,component joint data networks operations officer equivalent
CJEODC,combined joint explosive ordnance disposal cell
CJFC,combined joint force commander
CJLOTS,combined joint logistics over-the-shore
CJOC,Canadian Joint Operations Command
CJSART,Criminal Justice Sector Assessment Rating Tool
CJSMPT,Coalition Joint Spectrum Management Planning Tool
CJTF,combined joint task force (NATO)," commander, joint task force"
CL,contingency location, coordination level
CLA,critical logistics asset," landing craft, air cushion launch area"
CLB,combat logistics battalion
CLF,combat logistics force," commander, landing force"
CLIA,Clinical Laboratory Improvement Amendments of 1988
CLIP,Clinical Laboratory Improvement Program
CLML,contingency location master list
CLPSB,combatant commander logistics procurement support board
CLR,combat logistics regiment
CLS,contractor logistics support
CLZ,"landing craft, air cushion landing zone"
CM,combination module, cruise missile
CMA,collection management authority
CMAA,cooperative military airlift agreement
CMC,Commandant of the Marine Corps, Office of Civilian- Military Cooperation (USAID)
CMCB,civil-military coordination board
CMCC,combined movement coordination center
CMDO,command military deception officer
CME,civil-military engagement
CMF,Cyber Mission Force
CMM,Office of Conflict Management and Mitigation (USAID)
CMO,civil-military operations
CMOC,civil-military operations center
CMOS,cargo movement operations system, Cargo Movement Operations System (USAF)
CMP,contractor management plan
CMPF,"commander, maritime pre-positioning force"
CMSE,civil-military support element
CMST,consequence management support team
CMT,combat mission team
CNBG,"commander, naval beach group"
CNGB,"Chief, National Guard Bureau"
CNGBI,"Chief, National Guard Bureau instruction"
CNMF,Cyber National Mission Force
CNMF-HQ,Cyber National Mission Force-Headquarters
CNMI,Commonwealth of the Northern Mariana Islands
CNO,Chief of Naval Operations
CNR,combat net radio
CO,cyberspace operations
CO-IPE,cyberspace operations-integrated planning element
COA,course of action
COB,contingency operating base
COC,Code of Conduct,combat operations center
COCO,"contractor-owned, contractor-operated"
COCOM,combatant command (command authority)
COD,combat operations division
COE,concept of employment
COF,conduct of fire
COG, continuity of government,center of gravity
COI,community of interest
COIC,Counter-Improvised Explosive Device Operations/ Intelligence Integration Center (JIEDDO)
COIN,counterinsurgency
COLDS,cargo offload and discharge system
COLISEUM,community on-line intelligence system for end-users and managers
COLPRO,collective protection
COLS,concept of logistics support
COM,chief of mission, collection operations management
COMAFFOR,"commander, Air Force forces"
COMAFSOAC,"commander, Air Force special operations air component"
COMALOC,commercial air line of communications
COMARFOR,"commander, Army forces"
COMCAM,combat camera
COMDTINST,Commandant instruction (USCG)
COMFLTCYBERCOM,"Commander, Fleet Cyber Command"
COMINT,communications intelligence
COMMARFOR,"commander, Marine Corps forces"
COMNAVFOR,"commander, Navy forces"
COMNET,communications network
COMPACAF,"Commander, Pacific Air Forces"
COMPASS,Computerized Movement Planning and Status System
COMSC,"Commander, Military Sealift Command"
COMSCINST,"Commander, Military Sealift Command instruction"
COMSEC,communications security
COMSUBLANT,"Commander Submarine Force, United States Atlantic Fleet"
COMSUBPAC,"Commander Submarine Force, United States Pacific Fleet"
COMUSNAVNORTH,"Commander, United States Naval Forces, Northern Command"
COMUSPACFLT,"Commander, United States Pacific Fleet"
CONOPS,concept of operations
CONPLAN,concept plan, operation plan in concept format
CONR,continental United States North American Aerospace Defense Command Region
CONUS,continental United States
COOP,continuity of operations
COP,common operational picture
COR,contracting officer’s representative
CORIVRON,coastal riverine squadron
COS,chief of staff
COSC,combat and operational stress control
COTP,captain of the port
COTS,commercial off-the-shelf
CP,command post, contact point
CPA,campaign plan assessment
CPD,combat plans division
CPF,Cyber Protection Force
CPO,chief petty officer
CPT,cyberspace protection team
CR,civil reconnaissance, critical requirement
CRA,continuing resolution authority
CRAF,Civil Reserve Air Fleet
CRC,coastal riverine company, control and reporting center, crisis reaction center
CRE,contingency response element
CREAPER,Communications and Radar Electronic Attack Planning Effectiveness Reference
CREW,counter radio-controlled improvised explosive device electronic warfare
CREstT,Casualty Rate Estimation Tool
CRF,coastal riverine force, contingency response force
CRG,contingency response group
CRM,collection requirements management, comment resolution matrix
CRMx,collection requirements matrix
CRSP,centralized receiving and shipping point
CRT,"chemical, biological, radiological, nuclear, and high-yield explosives response team", contingency response team
CRTS,casualty receiving and treatment ship
CRW,contingency response wing
CS,combat support
CS&C,Office of Cybersecurity and Communications (DHS)
CSA,combat support agency
CSAR,combat search and rescue
CSC,convoy support center
CSCS,country-specific security cooperation section
CSE,contingency support element
CSEL,command senior enlisted leader
CSG,carrier strike group, cryptologic services group, Cryptologic Support Group
CSL,cooperative security location
CSNP,"causeway section, nonpowered"
CSO,Bureau of Conflict and Stabilization Operations (DOS)
CSP,campaign support plan, career sea pay
CSS,Central Security Service (NSA), combat service support
CSSA,combat service support area
CSSAMO,combat service support automation management office
CSSB,combat sustainment support battalion
CSSP,cybersecurity service provider
CST,combat support team
CSW,coordinate seeking weapons
CT, counterterrorism,computed tomography
CTBT,Comprehensive Nuclear Test-Ban Treaty
CTF,"commander, task force"," counter threat financeCTF IAMDcommander, task force integrated air and missile defense"
CTFP,Combating Terrorism Fellowship Program
CTIP,combating trafficking in persons
CTKB,combating terrorism knowledge base
CTL,candidate target list
CTN,countering threat networks
CTP,common tactical picture
CTR,cooperative threat reduction
CTS,commodity tracking system, Contingency Tracking System, controlled technical services
CTU,"commander, task unit"
CUI,controlled unclassified information
CUL,common-user logistics
CULT,common-user land transportation
CV,critical vulnerability
CVE,countering violent extremism
CVS,commercial vendor services
CVT,criticality-vulnerability-threat
CVW,carrier air wing
CW,chemical warfare, continuous wave
CWA,chemical warfare agent
CWC,Chemical Weapons Convention, composite warfare commander
CWG,counterdeception working group
CWMD,countering weapons of mass destruction
CWP,causeway pier
CWT,customer wait time
CbT,combating terrorism
CoC,Code of Conduct
D&D,denial and deception
D&F,determinations and findings
D&M,detection and monitoring
D-cell,deployment cell
D/CIA,"Director, Central Intelligence Agency"
D/T/ID,detect/track/identify
D3A,"decide, detect, deliver, and assess"
DA,Department of the Army, direct action, Directorate for Mission Services (DIA), double agent
DA&M,Director of Administration and Management
DAA,designated approving authority
DAADC,deputy area air defense commander
DAAS,defense automatic addressing system
DAB,Defense Acquisition Board
DAC,Defense Intelligence Agency (DIA) counterintelligence and security activity, Development Assistance
DACAS,digitally aided close air support
DACG,departure airfield control group
DACO,directive authority for cyberspace operations
DAF,Department of the Air Force
DAFL,directive authority for logistics
DAL,defended asset list
DALIS,Disaster Assistance Logistics Information System
DALS,downed aviator locator system
DAO,defense attaché office
DAR,Defense Acquisition Regulation
DART,disaster assistance response team
DAS,deep air support (USMC)
DASC,direct air support center
DASD(CN&GT),Deputy Assistant Secretary of Defense for Counternarcotics and Global Threats
DASD(Log),Deputy Assistant Secretary of Defense (Logistics)
DASD(SO/CT),Deputy Assistant Secretary of Defense for Special Operations and Combating Terrorism
DATT,defense attaché
DAWIA,Defense Acquisition Workforce Improvement Act
DBDB,digital bathymetric database
DBDB-V,digital bathymetric database variable
DBIDS,Defense Biometric Identification System
DBSMC,Defense Business Systems Management Committee
DBSS,Defense Blood Standard System
DBT,design basis threat
DC, direct current,Deputies Committee, directed communication, dislocated civilian
DC3,Department of Defense Cyber Crime Center
DCA,defense cooperation agreement, defensive counterair
DCAA,Defense Contract Audit Agency
DCAM,Defense Medical Logistics Standard Support (DMLSS) customer assistance module
DCAPES,Deliberate and Crisis Action Planning and Execution Segments
DCCC,Defense Collection Coordination Center (DIA)
DCE,defense coordinating element
DCGS,distributed common ground/surface system
DCGS-A,distributed common ground system-Army
DCGS-MC,distributed common ground/surface system Marine Corps
DCHA,"Bureau for Democracy, Conflict, and Humanitarian Assistance (USAID)"
DCHC,Defense Counterintelligence and Human Intelligence Center
DCI,defense critical infrastructure, Director of Central Intelligence
DCID,Director of Central Intelligence directive
DCIP,Defense Critical Infrastructure Program
DCISE,Defense Industrial Base Collaborative Information Sharing Environment
DCJTF,"deputy commander, joint task force"
DCM,defense collection manager, deputy chief of mission, directed communication model
DCMA,Defense Contract Management Agency
DCME,Defense Collection Management Enterprise
DCNO,Deputy Chief of Naval Operations
DCO, defense coordinating officer,debarkation control officer, defensive cyberspace operations
DCO-IDM,defensive cyberspace operations-internal defensive measures
DCO-RA,defensive cyberspace operations-response actions
DCP, Defense Continuity Program,data collection plan, detainee collection point
DCRF,"defense chemical, biological, radiological, and nuclear response force"
DCS,Defense Collaboration Services, deputy chief of staff
DCTC,Defense Combating Terrorism Center
DCW,Defense Collection Watch (DIA)
DD,Department of Defense (form), deputy director
DDA,deputy development advisor
DDE,Defense Logistics Agency distribution expeditionary
DDI,Director of Defense Intelligence
DDL,digital data link
DDM,Defense Logistics Agency Distribution Mapping
DDMS,Deputy Director for Military Support (NRO)
DDN,Defense Data Network DDOCDeployment and Distribution Operations Center (USTRANSCOM)
DDP,detailed deployment plan
DDR,"disarmament, demobilization, and reintegration"
DDS,Deployable Disbursing System
DDSBn,deployment and distribution support battalion
DDSM,Defense Distinguished Service Medal
DDST,deployment and distribution support team
DDXX,Defense Logistics Agency distribution expeditionary
DE, directed energy,decedent effects
DEA,Drug Enforcement Administration (DOJ)
DEARAS,Department of Defense Emergency Authorities Retrieval and Analysis System
DEERS,Defense Enrollment Eligibility Reporting System
DEFSMAC,Defense Special Missile and Aerospace Center
DEL,deployable equipment list
DEP,delayed entry program
DEPORD,deployment order
DERP,Defense Environmental Restoration Program
DES,deception event schedule
DESC,Defense Energy Support Center
DEST,domestic emergency support team
DEW,directed-energy warfare
DF,dangerous fallout, direction finding
DFARS,Defense Federal Acquisition Regulation Supplement
DFAS,Defense Finance and Accounting Service
DFBA,Defense Forensics and Biometrics Agency
DFC,detention facility commander
DFE,Defense Intelligence Agency forward element, Defense Joint Intelligence Operations Center forward element
DFRIF,Defense Freight Railway Interchange Fleet
DFSP,defense fuel support point
DFU,dry filter unit
DG,defense guidance
DGT,designated ground target
DHA,Defense Health Agency, detainee holding area
DHB,Defense Health Board
DHE,defense human intelligence executor
DHE-M,Defense Human Intelligence Enterprise-manual
DHHS,Department of Health and Human Services
DHM,defense human intelligence manager
DHP,Defense Health Program
DHS, Department of Homeland Security,Defense Human Intelligence (HUMINT) Service
DI,Defense Intelligence Agency (DIA) Directorate for Analysis, DIA Directorate for Intelligence Production
DI&E,data integration and exploitation
DIA,Defense Intelligence Agency
DIAM,Defense Intelligence Agency manual
DIAP,Defense Intelligence Analysis Program
DIAR,Defense Intelligence Agency (DIA) regulation
DIB,defense industrial base, defense institution building
DID,Defense Intelligence Digest
DIDO,designated intelligence disclosure official
DIE,deception intelligence estimate
DIEB,Defense Intelligence Executive Board
DIFC,Defence Intelligence Fusion Centre
DIGO,Defence Imagery and Geospatial Organisation (Australia)
DIJE,Defense Intelligence Joint Environment (United Kingdom)
DIMOC,Defense Imagery Management Operations Center
DINFOS,Defense Information School
DIO,defense intelligence officer
DIPF,defense intelligence priorities framework
DIRI,Defense Institution Reform Initiative
DIRINT,Director of Intelligence (USMC)
DIRLAUTH,direct liaison authorized
DIRMOBFOR,director of mobility forces
DIRNSA,"Director, National Security Agency"
DIRSPACEFOR,director of space forces (USAF)
DISA,Defense Information Systems Agency
DISA-LO,Defense Information Systems Agency - liaison officer
DISN,Defense Information Systems Network
DISO,deception in support of operations security
DISR,Department of Defense Information Technology Standards Registry
